# Лог очищен 2026-03-26 09:24:57
2026-03-26 14:46:14 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📋 Неотвеченные вопросы
2026-03-26 14:46:18 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: next_question_18 | Message: 14185
2026-03-26 14:46:38 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: skip_18 | Message: 14185
2026-03-26 14:46:40 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📋 Неотвеченные вопросы
2026-03-26 14:46:44 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: cancel_question | Message: 14188
2026-03-26 14:46:50 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 14:46:53 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👑 Админ-панель
2026-03-26 14:46:57 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 14:47:15 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🔧 Модераторское меню
2026-03-26 14:47:19 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📝 Просмотреть договоры
2026-03-26 14:47:23 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📋 Неотвеченные вопросы
2026-03-26 14:50:40 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 14:50:42 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 14:50:45 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:50:47 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:51:30 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11096 | Message: 14209
2026-03-26 14:54:55 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: activate_news:11096 | Message: 14209
2026-03-26 14:54:58 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11096 | Message: 14209
2026-03-26 14:55:00 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 14:55:03 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:55:04 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:55:08 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:247:11098 | Message: 14222
2026-03-26 14:55:09 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11098 | Message: 14222
2026-03-26 14:55:12 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 14:55:13 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:55:15 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:55:17 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11099 | Message: 14233
2026-03-26 14:59:59 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:00:21 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:00:22 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:00:29 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11100 | Message: 14246
2026-03-26 15:00:41 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11100 | Message: 14246
2026-03-26 15:00:53 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:249:11100 | Message: 14246
2026-03-26 15:00:55 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11100 | Message: 14246
